QUOTES: [
	""Быть богатым - значит довольствоваться тем, что имеешь.":::-Сожжённый проповедник",
	""Истинная мудрость заключается в том, чтобы знать, что ты ничего не знаешь.":::-Сожжённый проповедник",
	""Вино и дети говорят правду.":::-Сожжённый проповедник",
	""В людях заложена потребность высказывать свое мнение обо всем, что их окружает. Если бы они чаще сомневались в своих убеждениях, весь мир бы смолкнул.":::-Сожженный проповедник",
	""Все мои знания о человеческой природе являются результатом познания самого себя.":::-Сожженный проповедник",
	""Если не знаешь, почему знаешь то, что знаешь, то ничего не знаешь и считай себя глупцом.":::-Сожженный проповедник",
	"«Посмотрите на принца, который сидит в стороне, его взгляд отведен в глубокое размышление, а принцы вокруг него бьются в грудь и бормочут, как испуганные птицы Динорис. Ибо в его уме лежат будущее и надежда человечества».::: -Сожженный проповедник",
	""В каждом человеке есть двое: зверь и философ. Для того чтобы философ мог расцвести, он должен не сражаться со зверем, а примириться с ним.":::-Сожженный проповедник",
	""Я не спорю. Я не сражаюсь. Люди так поступают уже 3 эпохи, и никто никогда по-настоящему не побеждал.":::-Сожженный проповедник",
	""Не заблуждайтесь, полагая, что мудрость приходит из книг, мантий или благочестия. Мудрость добывается в самых темных уголках вашего разума, куда мало кому хватит смелости отправиться.":::-Сожженный проповедник",
	""Есть две формы власти. Одна опирается на людей, которые слепо выполняют ваши приказы. Эта власть хрупка и временна. Другая приходит от принятия своего одиночества, смертности и незначительности. Эта власть вечна.":::-Сожжённый проповедник",
	""Правда - величайший из ужасов, и страх перед ней является причиной становления и падения королевств.":::-Сожженный проповедник",
	""Глупцы говорят об Атури и Аминионе как о хорошем и плохом. На самом деле существуют только противоположные воли, и осуждение любой из них ведет к погибели человека.":::-Сожженный проповедник",
	""Люди называют меня мудрым, потому что я ничего не знаю, и, следовательно, редко сужу. Мудрость кроется в задаваемых вопросах, а не в даваемых ответах.":::-Сожженный проповедник",
	""На второй день весны стакан зерна следует замочить мочой девственницы. Если оно прорастет, пока Драндилойны цветут, то урожай в этом году будет отличным.":::-Меммот Мудрый",
	""Для лечения обычной головной боли натрите поясницу больного медом и дайте ему выпить зелья из ясеневой золы, смешанной с цианидом.":::-Меммот Мудрый",
	""На закате великая королева Амморот со своими войсками Тилапи напала на деревню и быстро прорвалась сквозь ее оборону. Детей убили, а женщин посадили в оковы. Мужчин же два дня истязали, затем убили и съели.":::-Хроники Третьего Века 67:153",
	""Проповедника заковали в цепи и отвели на холм. Поставленный на костер, ему снова было предложено отречься от своих учений и извиниться перед священниками, на что он ответил: "Я не держу зла на этих глупцов, так же как я не держу зла на камни или палки".":::-Хроники Третьего Века 49:87",
	""До начала времени существовала лишь серый дым. Затем свет отделился от тьмы, и возникли Авари и Авери. Силы порядка и хаоса. Свет и тьма.":::-Саммерион 1:23",
	""Затем раздались звуки боевого рога, и Авари бросились в столкновение с Авери. Кости павших образовали горы, их кровь - реки, а их плоть стала почвой.":::-Саммерион 1:32",
